,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
205,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,188000,1,300,0.16,185200,190500,185200,19746,3714914100,1372111984000,7298468,KSQ
206,336260,KR7336260005,두산퓨얼셀,KOSPI,,20900,2,-300,-1.42,21150,21250,20850,96885,2030694400,1368818873400,65493726,STK
207,067160,KR7067160002,아프리카TV,KOSDAQ,우량기업부,118800,2,-1700,-1.41,119100,120500,115600,159492,18751358900,1365578319600,11494767,KSQ
208,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,25250,2,-50,-0.2,25600,25600,24650,61340,1534589550,1356303750000,53715000,KSQ
209,098460,KR7098460009,고영,KOSDAQ GLOBAL,우량기업부,19660,1,70,0.36,19460,19930,19060,2899609,56430655340,1349752483300,68654755,KSQ
210,096530,KR7096530001,씨젠,KOSDAQ,우량기업부,25500,1,150,0.59,25250,26300,25150,342778,8846261150,1331762847000,52225994,KSQ
211,006360,KR7006360002,GS건설,KOSPI,,15540,2,-160,-1.02,15800,15800,15440,213382,3330192590,1329936354600,85581490,STK
212,004800,KR7004800009,효성,KOSPI,,62500,2,-700,-1.11,63300,63300,62200,12547,786024600,1316939062500,21071025,STK
213,003690,KR7003690005,코리안리,KOSPI,,7950,2,-240,-2.93,8210,8280,7900,346839,2784179730,1314671831700,165367526,STK
214,108320,KR7108320003,LX세미콘,KOSPI,,80700,2,-900,-1.1,81900,81900,80500,32960,2672078300,1312529010000,16264300,STK
215,298020,KR7298020009,효성티앤씨,KOSPI,,302500,2,-5000,-1.63,307500,307500,302000,7401,2247488500,1309123805000,4327682,STK
216,069960,KR7069960003,현대백화점,KOSPI,,55600,2,-1800,-3.14,57200,57200,55200,53244,2977421400,1301175719600,23402441,STK
217,457190,KR7457190007,이수스페셜티케미컬,KOSPI,,229500,1,500,0.22,227000,233500,221500,68093,15457277500,1284918403500,5598773,STK
218,005420,KR7005420005,코스모화학,KOSPI,,33450,1,150,0.45,33000,33500,32650,165205,5460518600,1284755226600,38408228,STK
219,004000,KR7004000006,롯데정밀화학,KOSPI,,49450,2,-250,-0.5,50200,50200,49400,26630,1323155350,1275810000000,25800000,STK
220,294870,KR7294870001,HDC현대산업개발,KOSPI,,19210,1,420,2.24,18790,19290,18760,470011,8997781650,1266079809300,65907330,STK
221,192820,KR7192820009,코스맥스,KOSPI,,110800,2,-3000,-2.64,113700,113800,110200,68676,7649888500,1257525597200,11349509,STK
222,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,102900,2,-300,-0.29,103100,103500,100000,49740,5074232000,1251251446200,12159878,KSQ
223,145720,KR7145720009,덴티움,KOSPI,,112700,2,-500,-0.44,113900,114600,112500,24221,2745458700,1247457141000,11068830,STK
224,009970,KR7009970005,영원무역홀딩스,KOSPI,,90300,2,-2000,-2.17,92300,92900,89500,10858,981395400,1231293957600,13635592,STK
225,285130,KR7285130001,SK케미칼,KOSPI,,71000,1,1700,2.45,69400,71500,69000,48388,3418503600,1225018593000,17253783,STK
